Long Lat Freq SampleSize
45 54 0.163 86
24 54 0.16 80
25 60 0.158 98
52 56 0.156 45
19 64 0.142 204
38 56 0.139 50
1 49 0.136 107
26 59 0.13 250
2 48 0.129 294
40 55 0.12 78
49 56 0.12 40
5 51 0.119 310
25 54 0.115 283
52 55 0.115 48
53 57 0.115 52
7 48 0.111 291
12 56 0.11 100
24 49 0.11 83
3 49 0.109 101
7 51 0.106 99
10 60 0.105 100
3 44 0.101 99
5 44 0.098 326
30 50 0.096 88
48 56 0.096 47
4 50 0.092 704
39 48 0.091 86
5 47 0.087 276
9 45 0.087 98
4 44 0.086 29
18 47 0.086 99
7 47 0.085 64
69 41 0.085 40
23 67 0.083 120
4 36 0.082 49
29 47 0.08 56
1 42 0.071 98
2 43 0.069 102
351 38 0.064 101
47 43 0.064 110
32 39 0.063 104
357 43 0.062 89
50 61 0.06 50
77 43 0.06 50
44 54 0.059 51
13 42 0.055 91
351 41 0.052 124
6 44 0.052 124
47 56 0.051 79
55 56 0.051 49
34 46 0.05 90
49 41 0.05 40
54 55 0.05 50
11 45 0.047 371
23 39 0.042 143
90 51 0.04 50
95 52 0.03 50
70 30 0.029 34
59 53 0.025 60
53 32 0.024 84
57 54 0.022 46
41 25 0.021 241
0 43 0.018 111
69 26 0.017 29
355 32 0.015 167
73 32 0.015 34
38 35 0.014 106
9 34 0.01 145
45 42 0.0 50
90 24 0.0 25
107 48 0.0 59
